Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
"$3,000-$3,499",0,0,0,0,4,3,3,0,0,17,Shoreham
"$3,500 or more",0,0,0,6,12,22,19,8,0,73,Shoreham
Personal income not stated,4,0,8,4,0,9,11,5,0,42,Shoreham
Total,18,16,46,45,67,121,150,84,45,590,Shoreham
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Carwarp
$1-$149,0,0,0,0,0,0,0,0,0,0,Carwarp
$150-$299,0,0,0,0,0,0,0,0,0,3,Carwarp
$300-$399,0,0,3,0,0,0,0,0,0,4,Carwarp
$400-$499,0,0,0,0,0,0,0,0,0,6,Carwarp
$500-$649,0,0,0,0,0,0,0,0,0,3,Carwarp
$650-$799,0,0,0,0,0,0,0,0,0,3,Carwarp
$800-$999 ,0,0,0,0,0,3,0,0,0,8,Carwarp
"$1,000-$1,249",0,0,0,0,0,3,0,0,0,3,Carwarp
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Carwarp
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Carwarp
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Carwarp
"$2,000-$2,999",0,0,0,0,0,0,3,0,0,3,Carwarp
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Carwarp
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Carwarp
Personal income not stated,0,0,0,4,0,0,0,0,0,8,Carwarp
Total,0,5,8,6,4,11,11,0,0,48,Carwarp
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
$1-$149,0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,6,Lawrence (Vic.)
$300-$399,0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
$400-$499,0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
$500-$649,0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
$650-$799,0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Lawrence (Vic.)
Total,0,0,0,0,0,0,4,0,0,8,Lawrence (Vic.)
Negative/Nil income,266,72,120,129,70,99,94,30,8,889,Lyndhurst (Vic.)
$1-$149,83,25,17,19,11,13,10,3,0,182,Lyndhurst (Vic.)
$150-$299,52,49,46,41,19,15,23,3,6,253,Lyndhurst (Vic.)
$300-$399,21,40,41,39,33,30,48,11,0,267,Lyndhurst (Vic.)
$400-$499,12,44,48,73,33,18,45,15,10,291,Lyndhurst (Vic.)
$500-$649,8,50,62,70,51,36,19,3,0,301,Lyndhurst (Vic.)
$650-$799,5,41,94,128,80,44,25,10,0,431,Lyndhurst (Vic.)
$800-$999 ,5,53,141,203,108,49,26,0,0,585,Lyndhurst (Vic.)
"$1,000-$1,249",4,43,195,229,160,75,17,0,0,715,Lyndhurst (Vic.)
"$1,250-$1,499",6,19,149,256,121,47,10,0,0,610,Lyndhurst (Vic.)
"$1,500-$1,749",0,11,116,190,128,34,15,0,0,487,Lyndhurst (Vic.)
"$1,750-$1,999",0,4,76,160,98,26,3,0,0,370,Lyndhurst (Vic.)
"$2,000-$2,999",0,3,87,281,118,42,7,0,0,537,Lyndhurst (Vic.)
"$3,000-$3,499",0,0,12,60,29,4,0,0,0,107,Lyndhurst (Vic.)
"$3,500 or more",0,0,21,55,31,0,0,0,0,111,Lyndhurst (Vic.)
Personal income not stated,24,28,71,90,41,33,12,9,7,307,Lyndhurst (Vic.)
Total,481,487,1291,2014,1136,583,355,79,24,6446,Lyndhurst (Vic.)
Negative/Nil income,72,10,20,5,15,32,9,3,0,175,Launching Place
$1-$149,37,0,11,5,4,7,4,0,0,69,Launching Place
$150-$299,14,3,8,10,11,24,29,4,0,101,Launching Place
$300-$399,10,6,8,11,11,25,52,22,3,148,Launching Place
$400-$499,3,10,17,11,16,10,46,24,9,146,Launching Place
$500-$649,11,15,24,20,20,20,27,14,5,144,Launching Place
$650-$799,6,29,31,22,25,23,19,6,0,157,Launching Place
$800-$999 ,3,34,33,32,34,30,20,9,0,201,Launching Place
"$1,000-$1,249",0,14,51,34,35,39,25,0,0,208,Launching Place
"$1,250-$1,499",0,5,42,29,40,23,6,0,0,148,Launching Place
"$1,500-$1,749",0,4,40,29,30,23,10,0,0,140,Launching Place
"$1,750-$1,999",0,0,21,28,25,12,5,0,0,87,Launching Place
"$2,000-$2,999",0,4,22,32,40,18,6,0,0,111,Launching Place
"$3,000-$3,499",0,0,0,4,0,3,0,0,0,10,Launching Place
"$3,500 or more",0,0,0,4,9,6,6,6,0,27,Launching Place
Personal income not stated,15,20,16,16,28,17,21,5,0,129,Launching Place
Total,178,154,347,283,341,318,272,96,20,2003,Launching Place
Negative/Nil income,28,7,0,0,9,7,8,0,0,50,Invermay (Vic.)
$1-$149,33,3,0,0,4,4,7,0,0,47,Invermay (Vic.)
$150-$299,4,3,0,0,5,0,4,3,0,27,Invermay (Vic.)
$300-$399,5,3,0,0,0,3,16,9,0,34,Invermay (Vic.)
$400-$499,0,0,3,4,0,4,20,5,0,44,Invermay (Vic.)
$500-$649,5,5,0,0,9,12,9,4,0,47,Invermay (Vic.)
$650-$799,0,0,4,3,7,10,16,4,0,45,Invermay (Vic.)
$800-$999 ,0,3,6,10,11,12,21,8,0,62,Invermay (Vic.)
"$1,000-$1,249",0,3,11,10,11,13,9,0,0,59,Invermay (Vic.)
"$1,250-$1,499",0,0,3,10,18,7,5,0,0,44,Invermay (Vic.)
"$1,500-$1,749",0,0,0,9,16,8,7,0,0,46,Invermay (Vic.)
"$1,750-$1,999",0,0,8,7,7,0,8,0,0,31,Invermay (Vic.)
"$2,000-$2,999",0,0,0,15,14,23,5,0,0,62,Invermay (Vic.)
"$3,000-$3,499",0,0,0,3,5,8,0,0,0,20,Invermay (Vic.)
"$3,500 or more",0,0,0,8,21,16,4,0,0,46,Invermay (Vic.)
Personal income not stated,0,0,0,4,3,4,15,0,0,29,Invermay (Vic.)
Total,78,30,50,91,139,128,151,40,6,708,Invermay (Vic.)
Negative/Nil income,48,3,11,16,20,74,64,22,0,261,St Leonards (Vic.)
$1-$149,24,0,4,4,4,19,32,6,0,97,St Leonards (Vic.)
$150-$299,13,8,11,5,12,40,43,26,7,172,St Leonards (Vic.)
$300-$399,0,11,17,17,33,58,137,69,18,359,St Leonards (Vic.)
$400-$499,4,6,11,14,26,62,109,57,18,318,St Leonards (Vic.)
$500-$649,3,12,24,21,31,56,114,37,11,311,St Leonards (Vic.)
$650-$799,3,18,23,17,38,57,68,33,6,262,St Leonards (Vic.)
$800-$999 ,0,17,40,26,50,67,51,15,0,266,St Leonards (Vic.)
"$1,000-$1,249",0,16,45,30,48,60,38,15,0,253,St Leonards (Vic.)
"$1,250-$1,499",0,0,39,21,40,46,11,4,0,161,St Leonards (Vic.)
"$1,500-$1,749",0,3,27,28,27,32,22,8,0,151,St Leonards (Vic.)
"$1,750-$1,999",0,0,22,17,23,25,11,0,0,98,St Leonards (Vic.)
"$2,000-$2,999",0,0,24,38,42,33,10,0,0,148,St Leonards (Vic.)
"$3,000-$3,499",0,0,4,6,10,11,3,0,0,37,St Leonards (Vic.)
"$3,500 or more",0,0,3,10,7,10,6,0,0,50,St Leonards (Vic.)
Personal income not stated,5,9,13,23,44,29,41,33,9,210,St Leonards (Vic.)
Total,112,108,318,308,458,675,759,328,81,3144,St Leonards (Vic.)
Negative/Nil income,4,0,0,5,0,3,9,0,0,14,Smeaton
$1-$149,0,0,0,3,0,0,0,0,0,0,Smeaton
$150-$299,3,0,0,0,5,0,3,0,0,10,Smeaton
$300-$399,0,0,0,0,5,7,6,6,0,23,Smeaton
$400-$499,0,0,0,3,0,0,4,4,0,11,Smeaton
$500-$649,0,0,0,4,0,0,11,4,0,20,Smeaton
$650-$799,0,0,0,7,0,6,4,0,0,16,Smeaton
$800-$999 ,0,0,3,0,4,5,0,0,0,13,Smeaton
"$1,000-$1,249",0,0,0,4,5,4,3,0,0,17,Smeaton
"$1,250-$1,499",0,0,0,4,0,0,5,0,0,12,Smeaton
"$1,500-$1,749",0,0,0,4,3,3,0,0,0,14,Smeaton
"$1,750-$1,999",0,0,0,4,4,0,0,0,0,11,Smeaton
"$2,000-$2,999",0,0,0,0,6,0,3,0,0,7,Smeaton
"$3,000-$3,499",0,0,0,0,4,0,0,0,0,7,Smeaton
"$3,500 or more",0,0,0,0,0,0,0,0,0,6,Smeaton
Personal income not stated,0,0,3,0,4,3,0,0,5,17,Smeaton
Total,9,4,13,30,37,34,53,17,6,203,Smeaton
Negative/Nil income,0,8,0,0,0,7,4,0,0,16,Byrneside
$1-$149,3,0,0,0,0,0,6,0,0,6,Byrneside
$150-$299,0,0,0,0,0,0,0,0,0,6,Byrneside
$300-$399,0,0,0,0,0,5,7,5,0,14,Byrneside
$400-$499,0,0,0,5,0,3,0,0,0,11,Byrneside
$500-$649,0,0,0,0,3,3,0,0,0,10,Byrneside
$650-$799,0,0,0,3,4,5,0,0,0,10,Byrneside
$800-$999 ,0,4,0,0,0,0,0,0,0,16,Byrneside
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,3,Byrneside
"$1,250-$1,499",0,0,0,0,0,4,0,0,0,4,Byrneside
"$1,500-$1,749",0,0,0,3,4,0,0,0,0,7,Byrneside
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,4,Byrneside
"$2,000-$2,999",0,0,0,4,3,0,0,0,0,7,Byrneside
"$3,000-$3,499",0,0,0,4,0,0,0,0,0,0,Byrneside
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Byrneside
Personal income not stated,0,0,4,4,3,0,6,0,0,11,Byrneside
Total,5,12,10,17,31,30,25,7,0,138,Byrneside
Negative/Nil income,0,0,0,0,0,0,0,0,0,4,Berrybank
$1-$149,0,0,0,0,0,0,0,0,0,0,Berrybank
$150-$299,0,0,0,0,0,0,0,0,0,0,Berrybank
$300-$399,0,0,0,0,0,0,6,0,0,3,Berrybank
$400-$499,0,0,0,0,0,3,0,0,0,3,Berrybank
$500-$649,0,0,0,0,0,0,0,0,0,0,Berrybank
$650-$799,0,0,0,0,0,0,0,0,0,0,Berrybank
$800-$999 ,0,3,0,0,0,0,0,0,0,4,Berrybank
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,3,Berrybank
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,3,Berrybank
"$1,500-$1,749",0,0,4,0,0,0,0,0,0,0,Berrybank
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Berrybank
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Berrybank
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Berrybank
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Berrybank
Personal income not stated,0,0,0,0,0,0,0,0,0,3,Berrybank
Total,0,6,4,0,0,9,4,0,0,28,Berrybank
Negative/Nil income,0,0,0,0,0,0,0,0,0,4,Tennyson (Vic.)
$1-$149,3,0,0,0,0,0,0,0,0,0,Tennyson (Vic.)
$150-$299,0,0,0,0,0,3,4,0,0,10,Tennyson (Vic.)
$300-$399,0,0,0,0,0,0,0,3,0,10,Tennyson (Vic.)
$400-$499,0,0,0,0,0,0,0,0,0,4,Tennyson (Vic.)
$500-$649,0,0,0,0,0,0,0,0,0,0,Tennyson (Vic.)
$650-$799,0,0,0,0,0,0,0,3,0,3,Tennyson (Vic.)
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Tennyson (Vic.)
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Tennyson (Vic.)
"$1,250-$1,499",0,0,0,0,3,0,0,0,0,3,Tennyson (Vic.)
"$1,500-$1,749",0,0,0,0,0,3,0,0,0,4,Tennyson (Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Tennyson (Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,4,Tennyson (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Tennyson (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Tennyson (Vic.)
Personal income not stated,0,0,0,0,0,0,0,0,0,3,Tennyson (Vic.)
Total,3,3,0,3,8,14,7,5,0,51,Tennyson (Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Torrita
$1-$149,0,0,0,0,0,0,0,0,0,0,Torrita
$150-$299,0,0,0,0,0,0,0,0,0,0,Torrita
$300-$399,0,0,0,0,0,0,0,0,0,0,Torrita
$400-$499,0,0,0,0,0,0,0,0,0,0,Torrita
$500-$649,0,0,0,0,0,0,0,0,0,7,Torrita
$650-$799,0,0,0,0,0,0,0,0,0,3,Torrita
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Torrita
"$1,000-$1,249",0,0,0,0,0,5,6,0,0,4,Torrita
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Torrita
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Torrita
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Torrita
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Torrita
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Torrita
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Torrita
Personal income not stated,0,0,0,4,6,6,0,0,0,15,Torrita
Total,0,0,5,9,6,16,5,6,0,37,Torrita
Negative/Nil income,5,0,0,0,0,0,0,0,0,4,Cannum
$1-$149,0,0,0,0,0,0,0,0,0,0,Cannum
$150-$299,0,0,0,0,0,0,0,0,0,0,Cannum
$300-$399,0,0,0,0,0,0,0,0,0,0,Cannum
$400-$499,0,0,0,0,0,0,0,0,0,0,Cannum
$500-$649,0,0,0,0,0,0,0,3,0,3,Cannum
$650-$799,0,0,0,0,0,0,0,0,0,0,Cannum
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Cannum
"$1,000-$1,249",0,0,0,0,3,5,0,0,0,11,Cannum
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,3,Cannum
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Cannum
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Cannum
"$2,000-$2,999",0,0,0,0,0,0,5,0,0,5,Cannum
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Cannum
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Cannum
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Cannum
Total,5,0,5,4,11,5,7,3,0,30,Cannum
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Spargo Creek
$1-$149,0,0,0,0,0,0,0,0,0,5,Spargo Creek
$150-$299,0,0,0,0,0,0,0,0,0,0,Spargo Creek
$300-$399,0,0,0,0,0,0,0,0,0,3,Spargo Creek
$400-$499,0,0,0,0,0,0,0,0,0,0,Spargo Creek
$500-$649,0,0,0,0,0,0,0,0,0,0,Spargo Creek
$650-$799,0,0,0,0,0,0,0,0,0,4,Spargo Creek
$800-$999 ,0,0,0,0,0,0,0,0,0,4,Spargo Creek
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Spargo Creek
"$1,250-$1,499",0,0,0,5,0,0,0,0,0,4,Spargo Creek
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Spargo Creek
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Spargo Creek
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Spargo Creek
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Spargo Creek
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Spargo Creek
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Spargo Creek
Total,5,3,3,8,3,9,0,3,0,35,Spargo Creek
Negative/Nil income,0,0,0,0,0,0,0,0,0,5,Thologolong
$1-$149,0,0,0,0,0,0,0,3,0,4,Thologolong
$150-$299,0,0,0,0,0,0,0,0,0,0,Thologolong
$300-$399,0,0,0,0,0,0,0,0,0,0,Thologolong
$400-$499,0,0,0,0,0,0,0,0,0,6,Thologolong
$500-$649,0,0,0,0,0,0,0,0,0,0,Thologolong
$650-$799,0,0,0,0,0,0,0,0,0,0,Thologolong
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Thologolong
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Thologolong
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Thologolong
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Thologolong
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Thologolong
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Thologolong
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Thologolong
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Thologolong
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Thologolong
Total,0,0,0,3,0,3,6,6,0,15,Thologolong
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Bolton
$1-$149,0,0,0,0,0,0,0,0,0,0,Bolton
$150-$299,0,0,0,0,0,0,0,0,0,0,Bolton
$300-$399,0,0,0,0,0,0,0,0,0,0,Bolton
$400-$499,0,0,0,0,0,0,0,0,0,0,Bolton
$500-$649,0,0,0,0,0,0,0,0,0,0,Bolton
$650-$799,0,0,0,0,0,0,0,0,0,0,Bolton
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Bolton
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Bolton
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Bolton
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Bolton
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Bolton
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Bolton
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Bolton
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Bolton
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Bolton
Total,0,0,0,3,0,0,0,0,0,7,Bolton
Negative/Nil income,0,0,0,0,0,0,0,0,0,5,Tallandoon
$1-$149,0,0,0,0,0,6,0,0,0,4,Tallandoon
$150-$299,0,0,0,0,0,0,0,0,0,3,Tallandoon
$300-$399,0,0,0,0,0,0,0,0,0,7,Tallandoon
$400-$499,0,0,0,0,0,0,7,0,0,7,Tallandoon
$500-$649,0,0,0,0,0,0,0,0,0,4,Tallandoon
$650-$799,0,0,0,6,0,0,0,0,0,3,Tallandoon
$800-$999 ,0,0,0,0,0,6,0,0,0,4,Tallandoon
"$1,000-$1,249",0,0,0,0,0,3,5,0,0,8,Tallandoon
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Tallandoon
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Tallandoon
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Tallandoon
"$2,000-$2,999",0,0,0,0,4,0,0,0,0,4,Tallandoon
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Tallandoon
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Tallandoon
Personal income not stated,0,0,0,0,0,3,6,0,0,10,Tallandoon
Total,4,0,11,9,8,16,18,0,0,80,Tallandoon
Negative/Nil income,0,0,0,0,0,0,0,0,0,4,Broughton (Vic.)
$1-$149,0,0,0,0,0,0,0,0,0,0,Broughton (Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,3,Broughton (Vic.)
$300-$399,0,0,0,0,0,0,0,0,0,5,Broughton (Vic.)
$400-$499,0,0,0,0,4,0,0,4,0,8,Broughton (Vic.)
$500-$649,0,0,0,0,0,0,0,0,0,5,Broughton (Vic.)
$650-$799,0,0,0,0,4,0,0,0,0,9,Broughton (Vic.)
$800-$999 ,0,0,0,5,0,0,0,0,0,10,Broughton (Vic.)
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Broughton (Vic.)
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,3,Broughton (Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,8,Broughton (Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Broughton (Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Broughton (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Broughton (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Broughton (Vic.)
Personal income not stated,0,0,0,0,0,0,0,0,0,7,Broughton (Vic.)
Total,9,3,7,3,9,9,5,4,3,44,Broughton (Vic.)
Negative/Nil income,16,0,6,3,4,0,3,0,0,34,Katandra West
$1-$149,7,0,0,0,0,0,0,3,0,9,Katandra West
$150-$299,3,4,0,0,0,5,4,0,0,20,Katandra West
$300-$399,3,3,3,0,4,4,10,3,0,35,Katandra West
$400-$499,0,4,0,3,8,6,10,4,0,41,Katandra West
$500-$649,0,0,4,4,4,5,4,0,0,26,Katandra West
$650-$799,0,4,4,9,8,6,4,8,0,38,Katandra West
$800-$999 ,0,3,6,8,13,11,0,0,0,48,Katandra West
"$1,000-$1,249",0,0,4,4,4,8,0,0,0,34,Katandra West
"$1,250-$1,499",0,0,0,5,3,0,0,0,0,20,Katandra West
"$1,500-$1,749",0,0,6,0,3,6,0,0,0,26,Katandra West
"$1,750-$1,999",0,0,0,3,9,0,0,0,0,13,Katandra West
"$2,000-$2,999",0,0,4,9,8,7,0,0,0,20,Katandra West
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,5,Katandra West
"$3,500 or more",0,0,0,0,0,3,0,0,0,8,Katandra West
Personal income not stated,0,6,6,0,5,9,9,3,0,27,Katandra West
Total,32,30,47,46,79,81,45,24,4,393,Katandra West
Negative/Nil income,7,0,0,0,3,0,7,0,0,22,Boneo
$1-$149,7,0,0,0,0,5,0,0,0,11,Boneo
$150-$299,0,0,0,0,0,4,4,0,0,10,Boneo
$300-$399,0,0,0,4,6,0,8,4,0,22,Boneo
$400-$499,0,0,0,0,3,3,10,9,5,26,Boneo
$500-$649,0,0,0,4,3,0,4,0,0,11,Boneo
$650-$799,0,5,8,5,5,6,4,3,4,35,Boneo
$800-$999 ,0,4,0,0,4,5,0,0,0,18,Boneo
"$1,000-$1,249",0,0,5,0,7,8,4,4,0,24,Boneo
"$1,250-$1,499",0,0,4,0,7,0,0,0,3,17,Boneo
"$1,500-$1,749",0,0,4,4,4,0,0,0,0,14,Boneo
"$1,750-$1,999",0,0,0,0,0,4,0,0,0,8,Boneo
"$2,000-$2,999",0,0,0,0,0,9,3,0,0,19,Boneo
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Boneo
"$3,500 or more",0,0,0,3,3,10,3,0,0,24,Boneo
Personal income not stated,0,0,7,0,3,8,0,0,0,15,Boneo
Total,16,17,33,26,47,62,49,23,13,281,Boneo
Negative/Nil income,4,0,3,0,0,9,5,0,0,23,Carlsruhe
$1-$149,10,0,0,0,0,0,0,0,0,15,Carlsruhe
$150-$299,4,0,3,0,0,0,4,0,0,18,Carlsruhe
$300-$399,0,0,0,4,0,3,9,0,0,19,Carlsruhe
$400-$499,0,0,0,0,5,5,8,0,0,19,Carlsruhe
$500-$649,0,0,0,4,5,5,7,0,0,18,Carlsruhe
$650-$799,3,0,0,7,4,9,4,8,0,27,Carlsruhe
$800-$999 ,0,0,0,7,5,3,0,0,0,20,Carlsruhe
"$1,000-$1,249",0,0,5,10,0,6,0,0,0,17,Carlsruhe
"$1,250-$1,499",0,0,0,3,5,3,0,3,0,18,Carlsruhe
"$1,500-$1,749",0,0,0,4,11,0,3,0,0,21,Carlsruhe
"$1,750-$1,999",0,0,0,0,4,0,0,0,0,4,Carlsruhe
"$2,000-$2,999",0,0,0,5,9,3,3,0,0,24,Carlsruhe
"$3,000-$3,499",0,0,0,4,0,10,0,0,0,11,Carlsruhe
"$3,500 or more",0,0,0,0,6,0,0,0,0,15,Carlsruhe
Personal income not stated,3,0,0,3,6,8,11,0,0,37,Carlsruhe
Total,18,10,23,53,68,65,51,21,0,313,Carlsruhe
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Cherokee
$1-$149,0,0,0,0,0,0,0,0,0,4,Cherokee
$150-$299,0,0,0,0,0,0,0,0,0,4,Cherokee
$300-$399,0,0,0,0,0,0,0,0,0,0,Cherokee
$400-$499,0,0,0,0,0,0,0,0,0,0,Cherokee
$500-$649,0,0,0,0,0,0,0,0,0,0,Cherokee
$650-$799,0,0,0,0,0,0,0,0,0,0,Cherokee
$800-$999 ,0,0,0,0,0,0,0,0,0,4,Cherokee
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Cherokee
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Cherokee
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Cherokee
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,5,Cherokee
"$2,000-$2,999",0,0,0,6,0,0,0,0,0,7,Cherokee
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,6,Cherokee
"$3,500 or more",0,0,0,0,0,0,0,5,0,8,Cherokee
Personal income not stated,0,0,3,3,4,3,0,0,0,17,Cherokee
Total,0,0,3,12,10,12,12,4,0,58,Cherokee
Negative/Nil income,535,83,161,167,147,227,212,68,20,1631,Boronia
$1-$149,207,58,51,67,32,69,98,29,11,607,Boronia
$150-$299,130,133,90,89,108,116,138,106,17,919,Boronia
$300-$399,60,112,151,126,134,191,318,299,86,1485,Boronia
$400-$499,29,106,135,126,168,170,384,317,161,1601,Boronia
$500-$649,36,133,205,191,187,192,324,162,73,1503,Boronia
$650-$799,20,156,252,225,229,217,222,106,35,1470,Boronia
$800-$999 ,9,179,417,366,295,263,130,69,17,1749,Boronia
"$1,000-$1,249",13,135,610,479,408,305,151,43,5,2152,Boronia
"$1,250-$1,499",0,55,448,369,284,219,86,16,3,1472,Boronia
"$1,500-$1,749",0,34,405,354,241,176,53,6,3,1278,Boronia
"$1,750-$1,999",0,9,245,257,173,116,25,3,0,823,Boronia
"$2,000-$2,999",0,14,301,466,296,181,36,9,3,1306,Boronia
"$3,000-$3,499",0,5,33,84,59,41,7,0,0,223,Boronia
"$3,500 or more",0,4,22,61,61,38,15,7,3,211,Boronia
Personal income not stated,56,78,206,173,157,114,156,139,72,1151,Boronia
Total,1111,1278,3733,3602,2970,2644,2357,1370,518,19579,Boronia
Negative/Nil income,43,3,8,12,15,15,22,3,0,119,Kinglake
$1-$149,22,5,0,3,3,10,9,0,0,51,Kinglake
$150-$299,11,9,0,10,5,10,5,9,0,63,Kinglake
$300-$399,0,7,9,11,11,28,27,6,4,105,Kinglake
$400-$499,9,3,14,4,11,20,22,8,0,93,Kinglake
$500-$649,0,9,13,21,25,15,20,8,0,111,Kinglake
$650-$799,5,17,18,13,20,17,11,0,0,94,Kinglake
$800-$999 ,4,6,18,18,31,25,7,5,0,119,Kinglake
"$1,000-$1,249",0,14,26,32,41,24,9,3,0,147,Kinglake
"$1,250-$1,499",0,7,29,21,23,8,5,0,0,89,Kinglake
"$1,500-$1,749",0,0,21,12,17,23,5,0,0,78,Kinglake
